Temperature,Humidity,Water Level,Status
28.1,79,1.5,1
28.1,79,1.5,1
28.1,79,1.5,1
28.1,79,1.5,1
28,79,1.5,1
28.2,79,1.5,1
28.2,79,1.5,1
28.2,79,1.5,1
28.2,79,1.5,1
28.3,79,1.5,1
28.3,79,1.5,1
28.7,79,1.5,1
28.7,79,1.5,1
28.7,79,1.5,1
28.7,79,1.5,1
28.7,79,1.5,1
29.2,79,1.5,1
29.2,79,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.6,80,1.5,1
29.8,80,1.5,1
29.8,80,1.5,1
29.8,80,1.6,1
29.8,80,1.6,1
29.5,80,1.6,1
29.5,80,1.6,1
29.5,80,1.6,1
29.4,80,1.6,1
29.4,80,1.6,1
29.4,80,1.6,1
29.4,80,1.6,1
29.4,80,1.6,1
29.4,80,1.6,1
29.3,80,1.6,1
29.3,80,1.6,1
29.3,80,1.6,1
29.3,80,1.6,1
29.3,80,1.6,1
28.6,80,1.6,1
28.6,80,1.6,1
28.6,79,1.6,1
28.6,79,1.6,1
28.6,79,1.6,1
28.4,79,1.6,1
28.4,79,1.6,1
28.4,79,1.6,1
28,79,1.6,1
28,81,1.6,1
27.3,81,1.6,1
27.3,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.5,81,1.6,1
27.5,81,1.6,1
27.5,81,1.6,1
27.5,81,1.6,1
27.5,81,1.6,1
27.5,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.5,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.4,81,1.6,1
27.3,81,1.6,1
27.3,81,1.6,1
27.3,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.1,81,1.6,1
27.2,81,1.6,1
27.2,81,1.6,1
27.2,81,1.6,1
27.2,81,1.6,1
26.2,81,1.5,1
26.2,81,1.5,1
26.3,81,1.5,1
26.3,81,1.5,1
26.7,81,1.5,1
27.2,81,1.5,1
27.2,81,1.5,1
27.2,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.4,81,1.5,1
27.2,81,1.5,1
27.2,81,1.5,1
27.2,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,81,1.5,1
27.1,82,1.5,1
27.5,82,1.5,1
27.5,82,1.5,1
27.5,82,1.5,1
27.5,82,1.5,1
27.5,82,1.5,1
27.5,81,1.5,1
27.5,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.6,81,1.5,1
27.4,82,1.5,1
27.4,82,1.5,1
27.4,82,1.5,1
27.4,82,1.5,1
27.4,82,1.5,1
27.4,82,1.5,1
27.3,82,1.5,1
27.3,82,1.5,1
27.3,83,1.5,1
27.3,83,1.5,1
27.3,83,1.5,1
27.3,83,1.5,1
27.1,83,1.5,1
27.1,83,1.5,1
27.1,83,1.5,1
27.1,83,1.5,1
27.2,83,1.5,1
27.2,83,1.5,1
27.2,83,1.5,1
27.2,82,1.5,1
27.2,82,1.5,1
27.2,82,1.5,1
27.2,82,1.5,1
28.1,82,1.5,1
28.1,80,1.5,1
28.1,80,1.5,1
28.1,80,1.5,1
28,80,1.5,1
28.2,80,1.5,1
28.2,80,1.5,1
28.2,80,1.5,1
